rank,symbol,sector,price,change_1d,change_1m,rs_rating,sepa_stage,pct_from_high,score
1,GCF,VNCONS,34.8,14.473684210526317,10.301109350237708,99,Stage 2,0.018335684062059397,100
2,LGL,VNREAL,6.26,0.16,33.19148936170212,99,Stage 2,0.03395061728395071,100
3,HAG,VNCONS,18.0,-2.7027027027027026,5.263157894736834,86,Stage 2,0.06493506493506493,100
4,MCH,VNCONS,216.4,-0.18450184501845018,35.67398119122257,99,Stage 2,0.024346257889991008,100
5,NCS,VNCONS,42.5,0.0,4.938271604938271,85,Stage 2,0.03409090909090909,100
6,SEA,VNCONS,54.0,8.0,12.5,99,Stage 2,0.05759162303664917,100
7,BCF,VNCONS,41.8,1.951219512195122,4.499999999999993,83,Stage 2,0.07111111111111118,100
8,VIC,VNREAL,248.0,1.2244897959183674,29.84293193717277,99,Stage 2,0.02015013828526272,100
9,VNM,VNCONS,62.0,-1.2738853503184715,7.638888888888887,93,Stage 2,0.022082018927444772,100
10,CPA,VNCONS,9.7,14.117647058823529,73.21428571428571,99,Stage 2,0.030000000000000072,99
11,ACL,VNCONS,13.55,0.0,1.4981273408239781,74,Stage 2,0.04240282685512365,99
12,ABT,VNCONS,72.8,1.1111111111111112,2.1037868162692845,76,Stage 2,0.05331599479843964,95
13,CCA,VNCONS,15.6,-0.6369426751592357,9.090909090909083,97,Stage 2,0.1549295774647888,94
14,NCG,VNCONS,12.6,-3.076923076923077,17.757009345794398,99,Stage 2,0.11267605633802814,94
15,ANT,VNCONS,43.7,2.823529411764706,28.52941176470589,99,Stage 2,0.10450819672131137,94
16,SMB,VNCONS,40.2,-0.49504950495049505,0.37453183520600675,71,Stage 2,0.015911872705018325,94
17,SPV,VNCONS,21.5,-9.282700421940929,9.137055837563455,97,Stage 2,0.18867924528301888,94
18,V21,VNREAL,6.9,1.4705882352941175,0.0,70,Stage 2,0.09210526315789465,94
19,HLD,VNREAL,18.3,0.0,-0.5434782608695536,69,Stage 2,0.08499999999999996,93
20,KDH,VNREAL,35.4,0.0,-1.2552301255230205,67,Stage 2,0.07086614173228353,93
