symbol,score,rs_rating,sepa_stage,pct_from_high,criteria_passed
VTC,99,99,Stage 2,0.0,6
VTB,99,99,Stage 2,0.0379746835443038,6
VMK,99,99,Stage 2,0.0,6
VIH,99,99,Stage 2,0.007168458781361982,6
VIE,99,99,Stage 2,0.0,6
VIC,99,99,Stage 2,0.02015013828526272,6
VEC,99,99,Stage 2,0.017857142857142856,6
SEA,99,99,Stage 2,0.05759162303664917,6
VJC,97,85,Stage 2,0.08181818181818182,5
VNM,96,84,Stage 2,0.022082018927444772,5
SRC,96,82,Stage 2,0.044642857142857144,5
SHA,93,65,Stage 2,0.06363636363636369,3
VLB,92,63,Stage 2,0.022088353413654505,3
VGR,92,63,Stage 2,0.041616301156967656,3
V21,92,62,Stage 2,0.09210526315789465,3
TSA,92,64,Stage 2,0.06040268456375841,3
SMB,92,63,Stage 2,0.015911872705018325,3
VNL,91,59,Stage 2,0.054166666666666696,3
TOS,91,58,Stage 2,0.06474820143884896,3
TN1,91,58,Stage 2,0.07647058823529417,3
